"date_set","si"
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",-5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",17
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",21
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
